datetime,open,close,high,low,volume,成交额,均价
2026-03-23 09:30:00,0.0,1433.33,1433.33,1433.33,227,32486424.0,1433.33
2026-03-23 09:31:00,0.0,1430.99,1435.0,1429.01,741,106133945.0,1432.029
2026-03-23 09:32:00,0.0,1428.0,1432.05,1427.0,671,95925060.0,1431.028
2026-03-23 09:33:00,0.0,1425.58,1427.0,1422.8,636,90653410.0,1429.232
2026-03-23 09:34:00,0.0,1422.9,1425.58,1422.9,556,79159284.0,1428.151
2026-03-23 09:35:00,0.0,1425.7,1425.7,1422.2,498,70891193.0,1427.458
2026-03-23 09:36:00,0.0,1423.35,1426.0,1423.08,418,59540422.0,1427.118
2026-03-23 09:37:00,0.0,1422.9,1423.5,1422.11,467,66452306.0,1426.658
2026-03-23 09:38:00,0.0,1419.99,1422.1,1419.09,636,90352647.0,1425.869
2026-03-23 09:39:00,0.0,1415.45,1419.89,1413.53,865,122480699.0,1424.369
2026-03-23 09:40:00,0.0,1415.3,1417.81,1415.01,754,106816795.0,1423.37
2026-03-23 09:41:00,0.0,1418.0,1418.0,1415.33,549,77698201.0,1422.83
2026-03-23 09:42:00,0.0,1417.5,1418.4,1415.6,372,52713848.0,1422.538
2026-03-23 09:43:00,0.0,1419.89,1421.0,1417.0,287,40747725.0,1422.435
2026-03-23 09:44:00,0.0,1416.81,1418.99,1416.62,227,32179844.0,1422.297
2026-03-23 09:45:00,0.0,1416.01,1417.0,1415.3,322,45605342.0,1422.063
2026-03-23 09:46:00,0.0,1419.22,1419.22,1416.06,227,32184707.0,1421.949
2026-03-23 09:47:00,0.0,1421.41,1422.67,1419.63,407,57841712.0,1421.913
2026-03-23 09:48:00,0.0,1420.0,1422.0,1418.99,199,28260557.0,1421.874
2026-03-23 09:49:00,0.0,1419.5,1421.05,1419.17,227,32235596.0,1421.83
2026-03-23 09:50:00,0.0,1417.76,1419.5,1417.76,285,40429395.0,1421.733
2026-03-23 09:51:00,0.0,1417.82,1418.0,1416.66,303,42939839.0,1421.593
2026-03-23 09:52:00,0.0,1417.82,1419.28,1417.02,188,26710973.0,1421.527
2026-03-23 09:53:00,0.0,1417.0,1418.98,1417.0,225,31897998.0,1421.443
2026-03-23 09:54:00,0.0,1417.0,1417.64,1415.73,344,48652525.0,1421.279
2026-03-23 09:55:00,0.0,1416.97,1417.0,1416.0,216,30592414.0,1421.181
2026-03-23 09:56:00,0.0,1417.59,1417.91,1416.24,245,34726082.0,1421.097
2026-03-23 09:57:00,0.0,1419.9,1421.0,1417.61,298,42311432.0,1421.064
2026-03-23 09:58:00,0.0,1417.18,1420.0,1416.97,188,26661476.0,1421.017
2026-03-23 09:59:00,0.0,1416.13,1417.02,1415.99,272,38521430.0,1420.907
2026-03-23 10:00:00,0.0,1418.0,1418.0,1416.14,129,18281053.0,1420.866
2026-03-23 10:01:00,0.0,1415.7,1417.5,1415.68,496,70231022.0,1420.671
2026-03-23 10:02:00,0.0,1416.17,1417.68,1416.09,135,19122129.0,1420.626
2026-03-23 10:03:00,0.0,1416.96,1416.98,1415.71,210,29749546.0,1420.561
2026-03-23 10:04:00,0.0,1417.18,1417.2,1416.5,157,22246723.0,1420.517
2026-03-23 10:05:00,0.0,1417.15,1417.69,1417.01,233,33023144.0,1420.461
2026-03-23 10:06:00,0.0,1417.68,1417.68,1416.47,225,31881009.0,1420.402
2026-03-23 10:07:00,0.0,1417.93,1417.94,1417.66,78,11066621.0,1420.386
2026-03-23 10:08:00,0.0,1417.51,1418.98,1416.53,212,30047515.0,1420.345
2026-03-23 10:09:00,0.0,1416.54,1418.7,1416.5,121,17149947.0,1420.319
2026-03-23 10:10:00,0.0,1417.41,1418.13,1416.64,106,15023311.0,1420.296
2026-03-23 10:11:00,0.0,1415.87,1417.52,1415.18,262,37107271.0,1420.222
2026-03-23 10:12:00,0.0,1415.5,1417.46,1415.2,135,19113439.0,1420.181
2026-03-23 10:13:00,0.0,1413.18,1415.35,1413.18,422,59684867.0,1420.014
2026-03-23 10:14:00,0.0,1414.0,1414.14,1413.02,162,22901691.0,1419.945
2026-03-23 10:15:00,0.0,1412.7,1413.24,1412.66,295,41685486.0,1419.812
2026-03-23 10:16:00,0.0,1412.7,1414.0,1412.59,192,27132907.0,1419.729
2026-03-23 10:17:00,0.0,1414.59,1414.59,1412.58,295,41700348.0,1419.614
2026-03-23 10:18:00,0.0,1413.25,1414.01,1413.0,100,14134874.0,1419.575
2026-03-23 10:19:00,0.0,1412.6,1413.95,1412.6,129,18228506.0,1419.522
2026-03-23 10:20:00,0.0,1411.54,1412.1,1411.4,248,35017050.0,1419.407
2026-03-23 10:21:00,0.0,1413.0,1413.93,1411.9,103,14551208.0,1419.365
2026-03-23 10:22:00,0.0,1412.1,1413.0,1412.02,59,8333946.0,1419.34
2026-03-23 10:23:00,0.0,1411.1,1412.08,1411.0,166,23429661.0,1419.26
2026-03-23 10:24:00,0.0,1410.23,1411.02,1405.58,729,102767963.0,1418.849
2026-03-23 10:25:00,0.0,1411.97,1412.59,1409.05,259,36536122.0,1418.728
2026-03-23 10:26:00,0.0,1415.4,1415.5,1412.5,188,26585594.0,1418.679
2026-03-23 10:27:00,0.0,1417.3,1418.0,1415.98,101,14307109.0,1418.667
2026-03-23 10:28:00,0.0,1417.89,1418.41,1417.2,111,15737866.0,1418.661
2026-03-23 10:29:00,0.0,1418.3,1418.31,1417.3,86,12194218.0,1418.658
2026-03-23 10:30:00,0.0,1417.14,1418.4,1416.75,88,12474378.0,1418.652
2026-03-23 10:31:00,0.0,1418.95,1419.87,1417.05,226,32071120.0,1418.658
2026-03-23 10:32:00,0.0,1418.19,1419.82,1417.18,127,18013687.0,1418.656
2026-03-23 10:33:00,0.0,1415.6,1418.18,1415.56,94,13318739.0,1418.647
2026-03-23 10:34:00,0.0,1412.99,1415.6,1412.99,130,18384730.0,1418.616
2026-03-23 10:35:00,0.0,1411.96,1413.48,1411.12,138,19497856.0,1418.574
2026-03-23 10:36:00,0.0,1411.3,1412.94,1411.3,224,31628172.0,1418.496
2026-03-23 10:37:00,0.0,1409.25,1411.31,1409.05,162,22844123.0,1418.426
2026-03-23 10:38:00,0.0,1409.82,1411.02,1409.26,161,22701062.0,1418.355
2026-03-23 10:39:00,0.0,1407.09,1409.28,1407.01,186,26196366.0,1418.261
2026-03-23 10:40:00,0.0,1408.96,1408.96,1407.02,139,19569582.0,1418.187
2026-03-23 10:41:00,0.0,1408.02,1408.91,1407.23,137,19293387.0,1418.119
2026-03-23 10:42:00,0.0,1407.39,1408.95,1407.39,139,19572431.0,1418.049
2026-03-23 10:43:00,0.0,1408.02,1408.44,1407.1,197,27732183.0,1417.948
2026-03-23 10:44:00,0.0,1410.87,1410.87,1408.51,94,13244849.0,1417.907
2026-03-23 10:45:00,0.0,1409.84,1411.09,1409.41,114,16080686.0,1417.866
2026-03-23 10:46:00,0.0,1410.81,1411.11,1409.83,90,12694835.0,1417.833
2026-03-23 10:47:00,0.0,1409.99,1410.99,1409.8,130,18337849.0,1417.788
2026-03-23 10:48:00,0.0,1409.99,1410.89,1409.73,99,13960856.0,1417.751
2026-03-23 10:49:00,0.0,1410.51,1410.71,1409.42,68,9588569.0,1417.726
2026-03-23 10:50:00,0.0,1409.5,1410.51,1409.5,122,17204314.0,1417.682
2026-03-23 10:51:00,0.0,1410.6,1410.74,1409.43,68,9587844.0,1417.657
2026-03-23 10:52:00,0.0,1409.68,1410.47,1409.45,57,8035845.0,1417.636
2026-03-23 10:53:00,0.0,1408.81,1409.7,1408.81,101,14234148.0,1417.596
2026-03-23 10:54:00,0.0,1408.5,1408.5,1407.0,187,26323410.0,1417.508
2026-03-23 10:55:00,0.0,1408.6,1409.0,1408.1,61,8593484.0,1417.483
2026-03-23 10:56:00,0.0,1409.76,1409.76,1408.51,94,13244530.0,1417.446
2026-03-23 10:57:00,0.0,1410.36,1410.42,1408.88,65,9165898.0,1417.424
2026-03-23 10:58:00,0.0,1410.0,1410.42,1409.56,86,12127529.0,1417.395
2026-03-23 10:59:00,0.0,1409.81,1410.0,1409.63,60,8459306.0,1417.374
2026-03-23 11:00:00,0.0,1409.63,1409.97,1409.0,73,10290701.0,1417.349
2026-03-23 11:01:00,0.0,1408.98,1409.63,1408.5,136,19161305.0,1417.296
